model,dataset,class,defect_type,class_auroc,defect_auroc,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,bottom_anomaly_score,top_anomaly_score,rank_low_to_high,low_auroc
anomalyclip,mvtec,screw,thread_side,82.10698913711826,79.95758218451749,41,23,0.9863298506271548,0.9919081408044567,0.005578290177301826,0.9813372492790222,0.9974852800369264,14,True
anomalyclip,mvtec,pill,contamination,81.09656301145662,81.86813186813187,26,21,0.9249230944193326,0.9493294585318792,0.024406364112546597,0.9229790568351746,0.9827020168304444,15,False
anomalyclip,mvtec,metal_nut,flip,92.37536656891496,82.01581027667983,22,23,0.9806581789797003,0.9869111750436865,0.006252996063986216,0.981676459312439,0.990865170955658,16,False
anomalyclip,mvtec,screw,scratch_head,82.10698913711826,82.72357723577237,41,24,0.9863298506271548,0.9921141738692919,0.005784323242137068,0.9868826270103456,0.996301770210266,17,False
anomalyclip,mvtec,cable,combined,70.27736131934032,82.75862068965517,58,11,0.9912159062665085,0.9947942332787947,0.00357832701228622,0.9885226488113404,0.9979451298713684,18,False
anomalyclip,mvtec,screw,scratch_neck,82.10698913711826,84.78048780487805,41,25,0.9863298506271548,0.9919664335250854,0.005636582897930564,0.9781675934791564,0.9965062141418456,19,False
anomalyclip,mvtec,toothbrush,defective,85.27777777777779,85.27777777777779,12,30,0.9500507165988287,0.9758112907409668,0.02576057414213817,0.9225006103515624,0.9905677437782288,20,False
anomalyclip,mvtec,wood,combined,96.9298245614035,87.08133971291866,19,11,0.9337222544770492,0.9823038415475325,0.04858158707048332,0.8859530091285706,0.999580442905426,21,False
anomalyclip,mvtec,pill,faulty_imprint,81.09656301145662,87.85425101214574,26,19,0.9249230944193326,0.9572576629488092,0.03233456852947658,0.9195109009742736,0.9851744771003724,22,False
anomalyclip,mvtec,pill,color,81.09656301145662,88.30769230769232,26,25,0.9249230944193326,0.9565795111656189,0.031656416746286276,0.8922054767608643,0.981827199459076,23,False
anomalyclip,mvtec,capsule,squeeze,89.50937375349022,89.34782608695653,23,20,0.9496215296828229,0.972191435098648,0.022569905415825153,0.9343612790107728,0.9923648834228516,24,False
