model,dataset,class,defect_type,auroc,auroc_pct,n_good,n_defect,mean_good_score,mean_defect_score,score_gap,std_good_score,std_defect_score,iqr_defect_score,range_defect_score,defect_to_good_std_ratio,top_normal_score,bottom_anomaly_score,rank_low_to_high,weak_defect_type
adaptclip,mvtec,transistor,cut_lead,0.8483333333333334,84.83333333333334,60,10,0.7394253174463908,0.8244781196117401,0.08505280216534927,0.05501575385363101,0.06098933471859742,0.10457487404346466,0.1726318597793579,1.1085794603643726,0.8778250217437744,0.7390871047973633,2,False
adaptclip,mvtec,transistor,bent_lead,0.9216666666666666,92.16666666666666,60,10,0.7394253174463908,0.840433019399643,0.10100770195325215,0.05501575385363101,0.04324762574142682,0.06388120353221893,0.140463888645172,0.7860953038376389,0.8778250217437744,0.7691709399223328,3,False
adaptclip,mvtec,transistor,damaged_case,0.995,99.5,60,10,0.7394253174463908,0.9037989914417267,0.16437367399533587,0.05501575385363101,0.03212125379090277,0.03401072323322296,0.09969824552536,0.5838555602884424,0.8778250217437744,0.8475961685180664,4,False
adaptclip,visa,cashew,Anomaly,0.862,86.2,50,100,0.36250356733798983,0.5973971596360207,0.23489359229803086,0.0550389750837489,0.2119393510100122,0.357893854379654,0.7046507596969604,3.8507139838181788,0.4935043752193451,0.2594683766365051,1,False
adaptclip,visa,macaroni1,Anomaly,0.8271,82.71,100,100,0.40597581803798677,0.4982865384221077,0.09231072038412091,0.062317430972830976,0.07819132854941582,0.09200765937566763,0.4217025637626648,1.2547264437698902,0.5327792167663574,0.3612399101257324,1,False
adaptclip,visa,macaroni2,Anomaly,0.715,71.5,100,100,0.9107017332315445,0.9551280844211578,0.044426351189613356,0.09507570756262648,0.020926857070170692,0.020169943571090698,0.12648171186447144,0.2201072977173075,0.9795451164245604,0.8507978320121765,1,True
adaptclip,visa,pcb2,Anomaly,0.6613999999999999,66.13999999999999,100,100,0.6973877304792404,0.7640749228000641,0.06668719232082365,0.11565199363309266,0.09827229109135054,0.137101411819458,0.511933296918869,0.8497241422670202,0.878612220287323,0.4312805831432342,1,True
adaptclip,visa,pcb3,Anomaly,0.6546534653465346,65.46534653465346,101,100,0.7148483481147502,0.7574290186166763,0.042580670501926154,0.07751662686170961,0.08794415633801436,0.12683938443660736,0.38699841499328613,1.1345199075149073,0.8311619162559509,0.5206568241119385,1,True
anomalyclip,mvtec,cable,missing_wire,0.7465517241379311,74.65517241379311,58,10,0.8895057799487278,0.9175233244895935,0.02801754454086569,0.028611889199466403,0.03861605019896748,0.024702489376068115,0.13197410106658936,1.3496504872417738,0.9390614628791808,0.8362877368927002,1,True
anomalyclip,mvtec,cable,poke_insulation,0.7586206896551725,75.86206896551725,58,10,0.8895057799487278,0.9212795495986938,0.03177376964996603,0.028611889199466403,0.03780572266020529,0.047423094511032104,0.10909116268157959,1.3213291298817957,0.9390614628791808,0.8516938090324402,2,True
